X	Y	group
-1	0.020951	Brassica
0	0.004529	Brassica
1	0.002264	Brassica
2	0.001850	Brassica
3	0.001559	Brassica
4	0.001382	Brassica
5	0.001289	Brassica
-1	0.022313	Beta
0	0.002916	Beta
1	0.000456	Beta
2	0.000677	Beta
3	0.000337	Beta
4	0.000436	Beta
5	0.000378	Beta
-1	0.057030	Glycine
0	0.008047	Glycine
1	0.002398	Glycine
2	0.001506	Glycine
3	0.003179	Glycine
4	0.000921	Glycine
5	0.000993	Glycine
-1	0.005921	Vigna
0	0.010595	Vigna
1	0.008797	Vigna
2	0.007173	Vigna
3	0.006103	Vigna
4	0.005126	Vigna
5	0.004775	Vigna
-1	0.010915	Populus
0	0.002801	Populus
1	0.000722	Populus
2	0.000689	Populus
3	0.000313	Populus
4	0.000790	Populus
5	0.000409	Populus
-1	0.028282	Salix
0	0.001882	Salix
1	0.000649	Salix
2	0.000508	Salix
3	0.000433	Salix
4	0.000383	Salix
5	0.000710	Salix
-1	0.002856	Gossypium
0	0.001746	Gossypium
1	0.000745	Gossypium
2	0.000809	Gossypium
3	0.000576	Gossypium
4	0.000995	Gossypium
5	0.000526	Gossypium
-1	0.045715	Oryza
0	0.017484	Oryza
1	0.008013	Oryza
2	0.005681	Oryza
3	0.003301	Oryza
4	0.002229	Oryza
5	0.002433	Oryza
-1	0.003824	Zea
0	0.001483	Zea
1	0.000864	Zea
2	0.000744	Zea
3	0.000663	Zea
4	0.000653	Zea
5	0.000240	Zea
-1	0.010119	Racomitrium
0	0.012601	Racomitrium
1	0.013046	Racomitrium
2	0.010122	Racomitrium
3	0.008351	Racomitrium
4	0.011766	Racomitrium
5	0.015417	Racomitrium
-1	0.019995	Calypogeia
0	0.015388	Calypogeia
1	0.012181	Calypogeia
2	0.010747	Calypogeia
3	0.009791	Calypogeia
4	0.007312	Calypogeia
5	0.007619	Calypogeia
-1	0.027315	Marchantia
0	0.014308	Marchantia
1	0.011019	Marchantia
2	0.009680	Marchantia
3	0.009619	Marchantia
4	0.009407	Marchantia
5	0.008100	Marchantia
